"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DLDZGDF7","document","2022","Economist, The","External Shocks Have Hit the Italian Economy Hard","","","","","","","2022-12-05","2023-05-10 19:06:33","2023-09-28 22:48:28","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/M8MMDA7X/0511b Economist - External shocks have hit the Italian economy hard.pdf","","NS3710; Italy - challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRQRPXBU","book","2011","Gilmour, David","The Pursuit of Italy: A History of A Land, Its Regions, and Their Peoples","","","","","","","2011","2023-05-10 19:06:33","2023-09-28 22:38:23","","","","","","","","","","","","","Farrar, Straus and Giroux","New York","en","","","","","","","","","/Users/jonathan/Zotero/storage/F8D2Y9W9/0511a Gilmour - The Pursuit of Italy Ch13.pdf; /Users/jonathan/Zotero/storage/27QT3R6T/Gilmour Ch1.pdf","","NS3710; Italy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NN56TDPM","journalArticle","2020","Freedman, Lawrence D.","Britain Adrift: The United Kingdom’s Search for a Post-Brexit Role","Foreign Affairs","","","","","","2020","2023-05-02 17:26:31","2023-09-28 22:35:11","","118","","","99","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/WH8QR66A/0502e Freedman - Britain Adrift  The United Kingdoms Search for a Post-Brexit Role.pdf","","NS3710; Britain - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAAP4SNP","journalArticle","2023","O’Toole, Fintan","Disunited Kingdom","Foreign Affairs","","","","","","2023-02-21","2023-05-02 17:26:31","2023-09-28 22:31:37","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/8KL2KUWQ/0502a O’Toole - Disunited Kingdom.pdf","","NS3710; Britain - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ND3YTYR2","document","2020","Economist, The","After Brexit, Who Will Be the British of the EU?","","","","","","","2020","2023-05-02 17:26:31","2023-09-28 22:35:47","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/2Z539PES/0502f Economist - After Brexit, who will be the British of the EU-.pdf","","NS3710; Britain - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNAW7XIV","document","2023","Economist, The","Britain Takes a Fresh Look at Its Foreign Policy","","","","","","","2023","2023-05-02 17:26:31","2023-09-28 22:34:31","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/655ZABSB/0502d Economist - Britain takes a fresh look at its foreign policy.pdf","","NS3710; Britain - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RN44PXZP","document","2022","Economist, The","The British Army Has a New Focus and Outdated Equipment","","","","","","","2022-07-11","2023-05-02 17:26:31","2023-09-28 22:33:19","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/UDXB4E6Z/0502c Economist - The British Army has a new focus and outdated equipment.pdf","","NS3710; Britain - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EM2G3E5","journalArticle","2023","Economist, The","Welcome to Britaly","Accessed","","","","","","2023-03-20","2023-05-02 17:26:31","2023-09-28 22:32:43","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/GPXQMTWU/0502b Economist - Welcome to Britaly.pdf","","NS3710; Britain - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LE6FBU5X","book","2012","Lijphart, Arend","Patterns of democracy: government forms and performance in thirty-six countries","","978-0-300-17202-7","","","","","2012","2023-04-27 19:13:06","2023-09-28 22:58:55","","","348","","","","","Patterns of democracy","","","","","Yale University Press","New Haven","","","","","","Library of Congress ISBN","JC421 .L542 2012","","","/Users/jonathan/Zotero/storage/HFW9PZAQ/Patterns_of_Democracy_----_(10_Division_of_Power_The_Federal-Unitary_and_Centralized-Decentralized...).pdf","","","","","","","","","","","","","","","","","","","","","","","2nd ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VF5T4V6F","journalArticle","","Kumar, Krishan","Nation and Empire: English and British National Identity in Comparative Perspective","","","","","","","","2023-04-25 17:18:58","2023-09-28 22:06:59","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/KV7L2DSA/0425 Kumar - Nation and Empire- English and British National Identity in Comparative Perspective.pdf","","NS3710; Britain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
